"Record ID","Deal Name","Deal Stage","Close Date","Deal owner","Amount","Deal Type"
"34454412584","24 Nettbutikk","Stage 2: Qualification","2025-07-30 17:06","Gjermunds Moastuen","161180.0","New Business"
"34453775219","Agnito AS","Stage 4: Contract Walkthrough","2025-07-30 17:08","Gjermunds Moastuen","161180.0","New Business"
"34692381727","Ahead Group","Stage 3: Solution Presentation","2025-10-31 15:04","Gjermunds Moastuen","161180.0","New Business"
"31649837361","Algora AS","Stage 3: Solution Presentation","2025-04-30 12:35","Gjermunds Moastuen","161180.0","New Business"
"28353034629","Atea","Stage 2: Qualification","2025-05-31 12:14","Gjermunds Moastuen","1.0","New Business"
"34453775119","Beat Technology AS","Stage 2: Qualification","2025-09-30 15:04","Gjermunds Moastuen","161180.0","New Business"
"29770678294","Cegal AS","Stage 2: Qualification","2025-05-31 12:07","Carl Petterson","80590.0","New Business"
"28584246032","Glasspaper People AS","Stage 3: Solution Presentation","2024-11-30 07:42","Gjermunds Moastuen","1.0","New Business"
"28351004019","Glasspaper Solutions AS","Stage 3: Solution Presentation","2025-05-31 12:04","Gjermunds Moastuen","161180.0","New Business"
"29768021859","Imara - New Deal","Stage 3: Solution Presentation","2024-12-20 14:22","Gjermunds Moastuen","80590.0","New Business"
"28353061705","Inspirit 365","Stage 2: Qualification","2025-05-31 12:14","Gjermunds Moastuen","161180.0","New Business"
"28353277219","Itera AS","Stage 2: Qualification","2025-06-30 12:09","Gjermunds Moastuen","161180.0","New Business"
"30337780297","Kreftforeningen - Data Engineers","Stage 2: Qualification","2025-05-31 13:29","Carl Petterson","161180.0","New Business"
"22933410902","Liberty Now","Stage 3: Solution Presentation","2025-05-31 12:02","Gjermunds Moastuen","161180.0","New Business"
"28353276480","Link Mobility AS","Stage 2: Qualification","2025-05-31 12:10","Gjermunds Moastuen","161180.0","New Business"
"29784351369","Noova AS","Stage 2: Qualification","2024-12-31 17:02","Gjermunds Moastuen","161180.0","New Business"
"34689145910","Outsearching - Ny avtale","Stage 3: Solution Presentation","2025-09-15 10:20","Gjermunds Moastuen","322360.0","New Business"
"34651666763","OwnersRoom - Ny avtale","Stage 2: Qualification","2025-09-15 10:08","Gjermunds Moastuen","161180.0","New Business"
"23362774873","Prosper AI - Medium/High","Stage 2: Qualification","2025-05-31 13:38","Carl Petterson","161180.0","New Business"
"34560592143","QR Pay - Ny avtale","Stage 2: Qualification","2025-09-07 13:10","Gjermunds Moastuen","161180.0","New Business"
"28353261121","RedHat","Stage 2: Qualification","2025-05-31 12:01","Gjermunds Moastuen","161180.0","New Business"
"34454412429","Sportoutlet.no AS","Stage 2: Qualification","2025-07-20 11:03","Gjermunds Moastuen","161180.0","New Business"
"28353465437","Storeshop","Stage 2: Qualification","2025-06-30 12:09","Gjermunds Moastuen","161180.0","New Business"
"28584245664","Strise","Stage 3: Solution Presentation","2025-03-31 07:32","Gjermunds Moastuen","161180.0","New Business"
"34453775254","Telenor Hub","Stage 3: Solution Presentation","2025-11-30 12:03","Gjermunds Moastuen","402950.0","New Business"
"34631493772","VARIANT TRONDHEIM AS - Ny avtale","Stage 2: Qualification","2025-09-07 12:55","Gjermunds Moastuen","161180.0","New Business"
"23362798131","Voglio","Stage 3: Solution Presentation","2025-04-30 12:04","Gjermunds Moastuen","161180.0","New Business"
